# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 50000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.00,0,3.12554e-17
1.00,0,8.39779e-18
2.00,0,8.90691e-18
3.00,0,9.50073e-18
4.00,0,9.41174e-18
5.00,0,9.60152e-18
6.00,0,9.89963e-18
7.00,0,1.00919e-17
8.00,0,1.03233e-17
9.00,0,1.03764e-17
10.00,0,1.04977e-17
11.00,0,1.04990e-17
12.00,0,1.05761e-17
13.00,0,1.06102e-17
14.00,0,1.06453e-17
15.00,0,1.07224e-17
16.00,0,1.07615e-17
17.00,0,1.07347e-17
18.00,0,1.06962e-17
19.00,0,1.06435e-17
20.00,0,1.06147e-17
21.00,0,1.05973e-17
22.00,0,1.06058e-17
23.00,0,1.06695e-17
24.00,0,1.06844e-17
25.00,0,1.07042e-17
26.00,0,1.07292e-17
27.00,0,1.07276e-17
28.00,0,1.07713e-17
29.00,0,1.07523e-17
30.00,0,1.07307e-17
31.00,0,1.07318e-17
32.00,0,1.07160e-17
33.00,0,1.07120e-17
34.00,0,1.07200e-17
35.00,0,1.07349e-17
36.00,0,1.07433e-17
37.00,0,1.07543e-17
38.00,0,1.07534e-17
39.00,0,1.07678e-17
40.00,0,1.07686e-17
41.00,0,1.07604e-17
42.00,0,1.07657e-17
43.00,0,1.07800e-17
44.00,0,1.07849e-17
45.00,0,1.08227e-17
46.00,0,1.08271e-17
47.00,0,1.08248e-17
48.00,0,1.08083e-17
49.00,0,1.07895e-17
50.00,0,1.07789e-17
51.00,0,1.07901e-17
52.00,0,1.07981e-17
53.00,0,1.08216e-17
54.00,0,1.22248e-17
55.00,0,1.81912e-17
56.00,0,5.47397e-18
57.00,0,3.44981e-18
58.00,0,2.82671e-18
59.00,0,2.72818e-18
60.00,0,2.78577e-18
61.00,0,2.85551e-18
62.00,0,2.95467e-18
63.00,0,3.03874e-18
64.00,0,3.08890e-18
65.00,0,3.13966e-18
66.00,0,3.14405e-18
67.00,0,3.18766e-18
68.00,0,3.30116e-18
69.00,0,3.38825e-18
70.00,0,3.35260e-18
71.00,0,4.07195e-18
72.00,0,1.63772e-17
73.00,0,2.27962e-17
74.00,0,1.29135e-17
75.00,0,8.01997e-18
76.00,0,7.86619e-18
77.00,0,9.26687e-18
78.00,0,9.57411e-18
79.00,0,1.17480e-17
80.00,0,1.12921e-17
81.00,0,1.08687e-17
82.00,0,1.15831e-17
83.00,0,1.20286e-17
84.00,0,1.20456e-17
85.00,0,1.22513e-17
86.00,0,1.22180e-17
87.00,0,1.26469e-17
88.00,0,1.32172e-17
89.00,0,1.28498e-17
90.00,0,1.24319e-17
91.00,0,1.26627e-17
92.00,0,1.24957e-17
93.00,0,1.34370e-17
94.00,0,1.31285e-17
95.00,0,1.37905e-17
96.00,0,1.39276e-17
97.00,0,1.32646e-17
98.00,0,1.32492e-17
99.00,0,1.29313e-17
100.00,0,1.41331e-17
101.00,0,1.33597e-17
102.00,0,1.32073e-17
103.00,0,1.37909e-17
104.00,0,1.36749e-17
105.00,0,1.44641e-17
106.00,0,1.41479e-17
107.00,0,1.42005e-17
108.00,0,1.42422e-17
109.00,0,1.37613e-17
110.00,0,1.40323e-17
111.00,0,1.37458e-17
112.00,0,1.43254e-17
113.00,0,1.39840e-17
114.00,0,1.43682e-17
115.00,0,1.34604e-17
116.00,0,1.43762e-17
117.00,0,1.45237e-17
118.00,0,1.43740e-17
119.00,0,1.43587e-17
120.00,0,1.46160e-17
121.00,0,1.41902e-17
122.00,0,1.42755e-17
123.00,0,1.44416e-17
124.00,0,1.45381e-17
125.00,0,1.46072e-17
126.00,0,1.52931e-17
127.00,0,1.43844e-17
128.00,0,1.48531e-17
129.00,0,1.43439e-17
130.00,0,1.47265e-17
131.00,0,1.43694e-17
132.00,0,1.45180e-17
133.00,0,1.47765e-17
134.00,0,1.44081e-17
135.00,0,1.45823e-17
136.00,0,1.46513e-17
137.00,0,1.48815e-17
138.00,0,1.40745e-17
139.00,0,1.46252e-17
140.00,0,1.45511e-17
141.00,0,1.50437e-17
142.00,0,1.49912e-17
143.00,0,1.46617e-17
144.00,0,1.50805e-17
145.00,0,1.44262e-17
146.00,0,1.46606e-17
147.00,0,1.48452e-17
148.00,0,1.49543e-17
149.00,0,1.48004e-17
150.00,0,1.53172e-17
151.00,0,1.47402e-17
152.00,0,1.52417e-17
153.00,0,1.50912e-17
154.00,0,1.52126e-17
155.00,0,1.54104e-17
156.00,0,1.51593e-17
157.00,0,1.47186e-17
158.00,0,1.48359e-17
159.00,0,1.44326e-17
160.00,0,1.51540e-17
161.00,0,1.54438e-17
162.00,0,1.52841e-17
163.00,0,1.48267e-17
164.00,0,1.56027e-17
165.00,0,1.57229e-17
166.00,0,1.59463e-17
167.00,0,1.53485e-17
168.00,0,1.56020e-17
169.00,0,1.53225e-17
170.00,0,1.52929e-17
171.00,0,1.54792e-17
172.00,0,1.56157e-17
173.00,0,1.57837e-17
174.00,0,1.49264e-17
175.00,0,1.52238e-17
176.00,0,1.49677e-17
177.00,0,1.53756e-17
178.00,0,1.51927e-17
179.00,0,1.50282e-17
180.00,0,1.52363e-17
181.00,0,1.49268e-17
182.00,0,1.47317e-17
183.00,0,1.51240e-17
184.00,0,1.52050e-17
185.00,0,1.50246e-17
186.00,0,1.50903e-17
187.00,0,1.48664e-17
188.00,0,1.51462e-17
189.00,0,1.53984e-17
190.00,0,1.52434e-17
191.00,0,1.55384e-17
192.00,0,1.49360e-17
193.00,0,1.54187e-17
194.00,0,1.51985e-17
195.00,0,1.53055e-17
196.00,0,1.47792e-17
197.00,0,1.51989e-17
198.00,0,1.53920e-17
199.00,0,1.49885e-17
200.00,0,1.50145e-17
